question,term,tfidf_score
"In your opinion, what are the main benefits of AI in law enforcement?",efficient,1.0
"In your opinion, what are the main benefits of AI in law enforcement?",efficiency,1.0
"In your opinion, what are the main benefits of AI in law enforcement?",efficient accurate,0.6489732265357749
"In your opinion, what are the main benefits of AI in law enforcement?",management,0.631731985493044
"In your opinion, what are the main benefits of AI in law enforcement?",time management,0.631731985493044
"In your opinion, what are the main benefits of AI in law enforcement?",data analysis,0.631731985493044
"In your opinion, what are the main benefits of AI in law enforcement?",analysis,0.631731985493044
"In your opinion, what are the main benefits of AI in law enforcement?",accurate,0.5797880920484894
"In your opinion, what are the main benefits of AI in law enforcement?",efficiency reduce,0.49073782410130135
"In your opinion, what are the main benefits of AI in law enforcement?",workload,0.49073782410130135
"In your opinion, what are the main benefits of AI in law enforcement?",reduce workload,0.49073782410130135
"In your opinion, what are the main benefits of AI in law enforcement?",sure information,0.4801568154426524
"In your opinion, what are the main benefits of AI in law enforcement?",sure,0.4801568154426524
"In your opinion, what are the main benefits of AI in law enforcement?",information ai,0.4801568154426524
"In your opinion, what are the main benefits of AI in law enforcement?",prejudiced person,0.47314931922609804
"In your opinion, what are the main benefits of AI in law enforcement?",ai prejudiced,0.47314931922609804
"In your opinion, what are the main benefits of AI in law enforcement?",prejudiced,0.47314931922609804
"In your opinion, what are the main benefits of AI in law enforcement?",time,0.4492542676592321
"In your opinion, what are the main benefits of AI in law enforcement?",data,0.4492542676592321
"In your opinion, what are the main benefits of AI in law enforcement?",catch criminals,0.447213595499958
"What concerns, if any, do you have about the use of AI in law enforcement?",safeguards,1.0
"What concerns, if any, do you have about the use of AI in law enforcement?",privacy,1.0
"What concerns, if any, do you have about the use of AI in law enforcement?",misuse,1.0
"What concerns, if any, do you have about the use of AI in law enforcement?",privacy issues,0.6449773615230933
"What concerns, if any, do you have about the use of AI in law enforcement?",issues,0.6449773615230933
"What concerns, if any, do you have about the use of AI in law enforcement?",information collect,0.6121366226097481
"What concerns, if any, do you have about the use of AI in law enforcement?",collect,0.6121366226097481
"What concerns, if any, do you have about the use of AI in law enforcement?",lack transparency,0.6113404723407458
"What concerns, if any, do you have about the use of AI in law enforcement?",transparency,0.5595814627371933
"What concerns, if any, do you have about the use of AI in law enforcement?",lack,0.5595814627371933
"What concerns, if any, do you have about the use of AI in law enforcement?",information,0.5005771773861267
"What concerns, if any, do you have about the use of AI in law enforcement?",technology,0.48797689153205265
"What concerns, if any, do you have about the use of AI in law enforcement?",comes,0.4878326589920418
"What concerns, if any, do you have about the use of AI in law enforcement?",comes privacy,0.4878326589920418
"What concerns, if any, do you have about the use of AI in law enforcement?",misuse comes,0.4878326589920418
"What concerns, if any, do you have about the use of AI in law enforcement?",trustworthy,0.447213595499958
"What concerns, if any, do you have about the use of AI in law enforcement?",inaccuracy 100,0.447213595499958
"What concerns, if any, do you have about the use of AI in law enforcement?",100 trustworthy,0.447213595499958
"What concerns, if any, do you have about the use of AI in law enforcement?",100,0.447213595499958
"What concerns, if any, do you have about the use of AI in law enforcement?",inaccuracy,0.447213595499958
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,sure,1.0
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,used,1.0
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency,1.0
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,checking,0.6501916978889754
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,human reviews,0.6501916978889754
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,reviews,0.6501916978889754
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,rules,0.6501916978889754
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,human checking,0.6501916978889754
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency rules,0.6501916978889754
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,legislation,0.6121366226097481
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,clear legislation,0.6121366226097481
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,limit,0.5461686020913511
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,limit ai,0.5461686020913511
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency decision,0.5446027524971816
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency independent,0.502406620525216
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,independent oversight,0.502406620525216
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,clear,0.5005771773861267
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,big,0.47652175550057324
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,cases,0.47652175550057324
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,used big,0.47652175550057324
