term,tfidf_score
issues,0.6501916978889754
privacy issues,0.6501916978889754
biases,0.3955876236598638
privacy,0.39306680347302647
sure information,0.3879293103950883
information ai,0.3879293103950883
ai misuse,0.3879293103950883
misuse transparency,0.3879293103950883
human,0.37032130839344807
clear legislation,0.3575732446488277
workload,0.3575732446488277
legislation,0.3575732446488277
reduce workload,0.3575732446488277
efficiency reduce,0.3575732446488277
workload clear,0.3575732446488277
misuse,0.3465733030686989
sure,0.3465733030686989
technology,0.3215876224488182
checking,0.32099251746343277
human checking,0.32099251746343277
human resources,0.32099251746343277
fair reduce,0.32099251746343277
reduce human,0.32099251746343277
resources human,0.32099251746343277
fair,0.32099251746343277
results,0.32096318394359885
results human,0.32096318394359885
reviews,0.32096318394359885
human reviews,0.32096318394359885
potential errors,0.32096318394359885
errors,0.32096318394359885
errors decisions,0.32096318394359885
decisions results,0.32096318394359885
ai,0.31200866082041784
activities,0.3106112301474488
abuse power,0.29883637767568116
main,0.29883637767568116
main ones,0.29883637767568116
privacy abuse,0.29883637767568116
power,0.29883637767568116
